"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***";"cycfi-logo-12mm";2;"LOGO";;;
2;"J1";"pin_header_2x05_P2.54mm_vertical";1;"I/O";;;
3;"H2,H1";"self_clinching_m3";2;"MountingHole";;;
4;"C1";"C_0402_1005Metric";1;"13nF";;;
5;"C2";"C_0402_1005Metric";1;"26nF";;;
6;"C3";"C_0402_1005Metric";1;"52nF";;;
7;"C4";"C_0402_1005Metric";1;"104nF";;;
8;"L1";"tb_inductor";1;"80mH";;;
9;"R1";"R_0402_1005Metric";1;"1280";;;
10;"R2";"R_0402_1005Metric";1;"640";;;
11;"R3";"R_0402_1005Metric";1;"320";;;
12;"R4";"R_0402_1005Metric";1;"160";;;
13;"R5";"R_0402_1005Metric";1;"80";;;
14;"R6";"R_0402_1005Metric";1;"4.7k";;;
15;"Q1";"RS32716";1;"RS32716R";;;
16;"Freq1";"RS32716";1;"RS32716C";;;
